timestep,num_transactions,num_fraud,fraud_rate,roc_auc,pr_auc,fraud_precision,fraud_recall,fraud_f1,experiment
ALL,16670,1083,0.06496700659868027,0.9321789632089768,0.8035743936878903,0.8489361702127659,0.7368421052631579,0.7889273356401383,without_timestep_combined
35,1341,182,0.13571961222967935,0.9980373379855693,0.9946064906204778,0.9518716577540107,0.978021978021978,0.964769647696477,without_timestep_combined
36,1708,33,0.019320843091334895,0.9999819086386251,0.999108734402852,0.66,1.0,0.7951807228915663,without_timestep_combined
37,498,40,0.08032128514056225,0.9857532751091703,0.9056618112363788,0.9655172413793104,0.7,0.8115942028985508,without_timestep_combined
38,756,111,0.14682539682539683,0.9824149731126476,0.9565867686077186,0.9615384615384616,0.9009009009009009,0.930232558139535,without_timestep_combined
39,1183,81,0.06846999154691462,0.989536420873384,0.9570347138902111,0.9156626506024096,0.9382716049382716,0.9268292682926829,without_timestep_combined
40,1211,112,0.09248554913294797,0.8931577408033278,0.7688349497937573,0.8928571428571429,0.6696428571428571,0.7653061224489796,without_timestep_combined
41,1132,116,0.10247349823321555,0.9847186396959001,0.9649532649648352,0.9565217391304348,0.9482758620689655,0.9523809523809523,without_timestep_combined
42,2154,239,0.11095636025998143,0.9632694975802135,0.8935495402914211,0.8981481481481481,0.8117154811715481,0.8527472527472527,without_timestep_combined
43,1370,24,0.017518248175182483,0.7616394254581476,0.0470503825817025,0.0,0.0,0.0,without_timestep_combined
44,1591,24,0.01508485229415462,0.669804296958094,0.04132248258356441,0.06896551724137931,0.08333333333333333,0.07547169811320754,without_timestep_combined
45,1221,5,0.004095004095004095,0.6759868421052632,0.009624099507449458,0.0,0.0,0.0,without_timestep_combined
46,712,2,0.0028089887640449437,0.9387323943661972,0.26136363636363635,0.07692307692307693,0.5,0.13333333333333336,without_timestep_combined
47,846,22,0.026004728132387706,0.7186120917917034,0.0439973126055768,0.0,0.0,0.0,without_timestep_combined
48,471,36,0.07643312101910828,0.8092592592592592,0.19622879560652357,0.0,0.0,0.0,without_timestep_combined
49,476,56,0.11764705882352941,0.7457908163265307,0.21483974803554595,0.1111111111111111,0.017857142857142856,0.03076923076923077,without_timestep_combined
